date,year,month,day,precipitation_mm,temp_c,humidity_pct
2021-05-20,2021,05,20,2.62,27.68,85.79
2021-05-21,2021,05,21,6.12,27.71,85.67
2021-05-22,2021,05,22,10.83,27.91,83.6
2021-05-23,2021,05,23,3.71,27.69,83.86
2021-05-24,2021,05,24,9.82,27.86,83.17
2021-05-25,2021,05,25,10.92,27.74,86.36
2021-05-26,2021,05,26,0.67,28.26,84.37
2021-05-27,2021,05,27,0.98,28.38,85.72
2021-05-28,2021,05,28,1.99,28.19,84.87
2021-05-29,2021,05,29,6.55,27.3,85.77
2021-05-30,2021,05,30,1.46,27.87,81.09
2021-05-31,2021,05,31,5.88,27.91,82.01
2021-06-01,2021,06,01,3.76,27.72,82.05
2021-06-02,2021,06,02,3.36,28.4,80.03
2021-06-03,2021,06,03,4.41,28.23,86.92
2021-06-04,2021,06,04,5.31,28.44,87.43
2021-06-05,2021,06,05,2.2,28.14,87.44
2021-06-06,2021,06,06,2.89,27.94,83.93
2021-06-07,2021,06,07,4.33,27.82,85.32
2021-06-08,2021,06,08,0.77,27.8,81.7
2021-06-09,2021,06,09,1.85,27.82,82.06
2021-06-10,2021,06,10,2.01,28.07,81.46
2021-06-11,2021,06,11,5.41,27.28,82.73
2021-06-12,2021,06,12,3.04,27.91,77.28
2021-06-13,2021,06,13,3.61,28.04,86.42
